#Ensembl gene	external name	external name source	biotype	status	chromosome	start	end	strand	source	description
ENSG00000133980	VRTN	HGNC	protein_coding	KNOWN	14	74769772	74826711	1	ensembl	vertebrae development homolog (pig) [Source:HGNC Symbol;Acc:20223]
ENSG00000133983	COX16	HGNC	protein_coding	KNOWN	14	70792102	70826448	-1	ensembl	COX16 cytochrome c oxidase assembly homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:20213]
ENSG00000133985	TTC9	HGNC	protein_coding	KNOWN	14	71108504	71142077	1	ensembl	tetratricopeptide repeat domain 9 [Source:HGNC Symbol;Acc:20267]
ENSG00000133997	MED6	HGNC	protein_coding	KNOWN	14	71047974	71067384	-1	ensembl	mediator complex subunit 6 [Source:HGNC Symbol;Acc:19970]
ENSG00000134001	EIF2S1	HGNC	protein_coding	KNOWN	14	67826714	67853233	1	ensembl	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa [Source:HGNC Symbol;Acc:3265]
ENSG00000134007	ADAM20	HGNC	protein_coding	KNOWN	14	70989078	71001732	-1	ensembl	ADAM metallopeptidase domain 20 [Source:HGNC Symbol;Acc:199]
ENSG00000134013	LOXL2	HGNC	protein_coding	KNOWN	8	23154702	23282841	-1	ensembl	lysyl oxidase-like 2 [Source:HGNC Symbol;Acc:6666]
ENSG00000134014	ELP3	HGNC	protein_coding	KNOWN	8	27947190	28048673	1	ensembl	elongation protein 3 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:20696]
ENSG00000134020	PEBP4	HGNC	protein_coding	KNOWN	8	22570769	22857513	-1	ensembl	phosphatidylethanolamine-binding protein 4 [Source:HGNC Symbol;Acc:28319]
ENSG00000134028	ADAMDEC1	HGNC	protein_coding	KNOWN	8	24241798	24263526	1	ensembl	ADAM-like, decysin 1 [Source:HGNC Symbol;Acc:16299]
ENSG00000134030	CTIF	HGNC	protein_coding	KNOWN	18	46065417	46389588	1	ensembl	CBP80/20-dependent translation initiation factor [Source:HGNC Symbol;Acc:23925]
ENSG00000134042	MRO	HGNC	protein_coding	KNOWN	18	48321491	48351754	-1	ensembl	maestro [Source:HGNC Symbol;Acc:24121]
ENSG00000134046	MBD2	HGNC	protein_coding	KNOWN	18	51677971	51751158	-1	ensembl	methyl-CpG binding domain protein 2 [Source:HGNC Symbol;Acc:6917]
ENSG00000134049	IER3IP1	HGNC	protein_coding	KNOWN	18	44681413	44702745	-1	ensembl	immediate early response 3 interacting protein 1 [Source:HGNC Symbol;Acc:18550]
ENSG00000134056	MRPS36	HGNC	protein_coding	KNOWN	5	68513587	68525956	1	ensembl	mitochondrial ribosomal protein S36 [Source:HGNC Symbol;Acc:16631]
ENSG00000134057	CCNB1	HGNC	protein_coding	KNOWN	5	68462837	68474072	1	ensembl	cyclin B1 [Source:HGNC Symbol;Acc:1579]
ENSG00000134058	CDK7	HGNC	protein_coding	KNOWN	5	68530668	68573250	1	ensembl	cyclin-dependent kinase 7 [Source:HGNC Symbol;Acc:1778]
ENSG00000134061	CD180	HGNC	protein_coding	KNOWN	5	66478103	66492627	-1	ensembl	CD180 molecule [Source:HGNC Symbol;Acc:6726]
ENSG00000134070	IRAK2	HGNC	protein_coding	KNOWN	3	10206549	10285427	1	ensembl	interleukin-1 receptor-associated kinase 2 [Source:HGNC Symbol;Acc:6113]
ENSG00000134072	CAMK1	HGNC	protein_coding	KNOWN	3	9799026	9811676	-1	ensembl	calcium/calmodulin-dependent protein kinase I [Source:HGNC Symbol;Acc:1459]
ENSG00000134077	THUMPD3	HGNC	protein_coding	KNOWN	3	9404526	9428475	1	ensembl	THUMP domain containing 3 [Source:HGNC Symbol;Acc:24493]
ENSG00000134086	VHL	HGNC	protein_coding	KNOWN	3	10182692	10193904	1	ensembl	von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:12687]
ENSG00000134107	BHLHE40	HGNC	protein_coding	KNOWN	3	5020801	5027008	1	ensembl	basic helix-loop-helix family, member e40 [Source:HGNC Symbol;Acc:1046]
ENSG00000134108	ARL8B	HGNC	protein_coding	KNOWN	3	5163905	5222596	1	ensembl	ADP-ribosylation factor-like 8B [Source:HGNC Symbol;Acc:25564]
ENSG00000134109	EDEM1	HGNC	protein_coding	KNOWN	3	5229331	5261642	1	ensembl	ER degradation enhancer, mannosidase alpha-like 1 [Source:HGNC Symbol;Acc:18967]
ENSG00000134115	CNTN6	HGNC	protein_coding	KNOWN	3	1134260	1445901	1	ensembl	contactin 6 [Source:HGNC Symbol;Acc:2176]
ENSG00000134121	CHL1	HGNC	protein_coding	KNOWN	3	238279	451090	1	ensembl	cell adhesion molecule with homology to L1CAM (close homolog of L1) [Source:HGNC Symbol;Acc:1939]
ENSG00000134138	MEIS2	HGNC	protein_coding	KNOWN	15	37181409	37393504	-1	ensembl	Meis homeobox 2 [Source:HGNC Symbol;Acc:7001]
ENSG00000134146	ATPBD4	HGNC	protein_coding	KNOWN	15	35509546	35838394	-1	ensembl	ATP binding domain 4 [Source:HGNC Symbol;Acc:30543]
ENSG00000134152	C15orf29	HGNC	protein_coding	KNOWN	15	34432875	34502297	-1	ensembl	chromosome 15 open reading frame 29 [Source:HGNC Symbol;Acc:26199]
ENSG00000134153	C15orf24	HGNC	protein_coding	KNOWN	15	34376218	34394149	-1	ensembl	chromosome 15 open reading frame 24 [Source:HGNC Symbol;Acc:24301]
ENSG00000134160	TRPM1	HGNC	protein_coding	KNOWN	15	31293264	31453476	-1	ensembl	transient receptor potential cation channel, subfamily M, member 1 [Source:HGNC Symbol;Acc:7146]
ENSG00000134183	GNAT2	HGNC	protein_coding	KNOWN	1	110145889	110155679	-1	ensembl	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2 [Source:HGNC Symbol;Acc:4394]
ENSG00000134184	GSTM1	HGNC	protein_coding	KNOWN	1	110230436	110251307	1	ensembl	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:4632]
ENSG00000134186	PRPF38B	HGNC	protein_coding	KNOWN	1	109234945	109244425	1	ensembl	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B [Source:HGNC Symbol;Acc:25512]
ENSG00000134193	REG4	HGNC	protein_coding	KNOWN	1	120336641	120354283	-1	ensembl	regenerating islet-derived family, member 4 [Source:HGNC Symbol;Acc:22977]
ENSG00000134198	TSPAN2	HGNC	protein_coding	KNOWN	1	115590632	115632121	-1	ensembl	tetraspanin 2 [Source:HGNC Symbol;Acc:20659]
ENSG00000134200	TSHB	HGNC	protein_coding	KNOWN	1	115572415	115576941	1	ensembl	thyroid stimulating hormone, beta [Source:HGNC Symbol;Acc:12372]
ENSG00000134201	GSTM5	HGNC	protein_coding	KNOWN	1	110254877	110260888	1	ensembl	glutathione S-transferase mu 5 [Source:HGNC Symbol;Acc:4637]
ENSG00000134202	GSTM3	HGNC	protein_coding	KNOWN	1	110276554	110284384	-1	ensembl	glutathione S-transferase mu 3 (brain) [Source:HGNC Symbol;Acc:4635]
ENSG00000134207	SYT6	HGNC	protein_coding	KNOWN	1	114631914	114696541	-1	ensembl	synaptotagmin VI [Source:HGNC Symbol;Acc:18638]
ENSG00000134215	VAV3	HGNC	protein_coding	KNOWN	1	108113782	108507766	-1	ensembl	vav 3 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:12659]
ENSG00000134216	CHIA	HGNC	protein_coding	KNOWN	1	111833484	111863188	1	ensembl	chitinase, acidic [Source:HGNC Symbol;Acc:17432]
ENSG00000134222	PSRC1	HGNC	protein_coding	KNOWN	1	109822178	109825808	-1	ensembl	proline/serine-rich coiled-coil 1 [Source:HGNC Symbol;Acc:24472]
ENSG00000134240	HMGCS2	HGNC	protein_coding	KNOWN	1	120290619	120311528	-1	ensembl	3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial) [Source:HGNC Symbol;Acc:5008]
ENSG00000134242	PTPN22	HGNC	protein_coding	KNOWN	1	114356433	114414381	-1	ensembl	protein tyrosine phosphatase, non-receptor type 22 (lymphoid) [Source:HGNC Symbol;Acc:9652]
ENSG00000134243	SORT1	HGNC	protein_coding	KNOWN	1	109852192	109940573	-1	ensembl	sortilin 1 [Source:HGNC Symbol;Acc:11186]
ENSG00000134245	WNT2B	HGNC	protein_coding	KNOWN	1	113009163	113065288	1	ensembl	wingless-type MMTV integration site family, member 2B [Source:HGNC Symbol;Acc:12781]
ENSG00000134247	PTGFRN	HGNC	protein_coding	KNOWN	1	117452679	117532980	1	ensembl	prostaglandin F2 receptor negative regulator [Source:HGNC Symbol;Acc:9601]
ENSG00000134248	HBXIP	HGNC	protein_coding	KNOWN	1	110943871	110950564	-1	ensembl	hepatitis B virus x interacting protein [Source:HGNC Symbol;Acc:17955]
ENSG00000134249	ADAM30	HGNC	protein_coding	KNOWN	1	120436156	120439118	-1	ensembl	ADAM metallopeptidase domain 30 [Source:HGNC Symbol;Acc:208]
ENSG00000134250	NOTCH2	HGNC	protein_coding	KNOWN	1	120454176	120612240	-1	ensembl	notch 2 [Source:HGNC Symbol;Acc:7882]
ENSG00000134253	TRIM45	HGNC	protein_coding	KNOWN	1	117653682	117665209	-1	ensembl	tripartite motif containing 45 [Source:HGNC Symbol;Acc:19018]
ENSG00000134255	CEPT1	HGNC	protein_coding	KNOWN	1	111682249	111727724	1	ensembl	choline/ethanolamine phosphotransferase 1 [Source:HGNC Symbol;Acc:24289]
ENSG00000134256	CD101	HGNC	protein_coding	KNOWN	1	117544382	117579167	1	ensembl	CD101 molecule [Source:HGNC Symbol;Acc:5949]
ENSG00000134258	VTCN1	HGNC	protein_coding	KNOWN	1	117686209	117753556	-1	ensembl	V-set domain containing T cell activation inhibitor 1 [Source:HGNC Symbol;Acc:28873]
ENSG00000134259	NGF	HGNC	protein_coding	KNOWN	1	115828539	115880857	-1	ensembl	nerve growth factor (beta polypeptide) [Source:HGNC Symbol;Acc:7808]
ENSG00000134262	AP4B1	HGNC	protein_coding	KNOWN	1	114437370	114447823	-1	ensembl	adaptor-related protein complex 4, beta 1 subunit [Source:HGNC Symbol;Acc:572]
ENSG00000134265	NAPG	HGNC	protein_coding	KNOWN	18	10525873	10552762	1	ensembl	N-ethylmaleimide-sensitive factor attachment protein, gamma [Source:HGNC Symbol;Acc:7642]
ENSG00000134278	SPIRE1	HGNC	protein_coding	KNOWN	18	12446511	12658133	-1	ensembl	spire homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:30622]
ENSG00000134283	PPHLN1	HGNC	protein_coding	KNOWN	12	42632249	42853517	1	ensembl	periphilin 1 [Source:HGNC Symbol;Acc:19369]
ENSG00000134285	FKBP11	HGNC	protein_coding	KNOWN	12	49315301	49320257	-1	ensembl	FK506 binding protein 11, 19 kDa [Source:HGNC Symbol;Acc:18624]
ENSG00000134287	ARF3	HGNC	protein_coding	KNOWN	12	49297286	49351334	-1	ensembl	ADP-ribosylation factor 3 [Source:HGNC Symbol;Acc:654]
ENSG00000134291	TMEM106C	HGNC	protein_coding	KNOWN	12	48357352	48362661	1	ensembl	transmembrane protein 106C [Source:HGNC Symbol;Acc:28775]
ENSG00000134294	SLC38A2	HGNC	protein_coding	KNOWN	12	46751972	46766650	-1	ensembl	solute carrier family 38, member 2 [Source:HGNC Symbol;Acc:13448]
ENSG00000134308	YWHAQ	HGNC	protein_coding	KNOWN	2	9724101	9771143	-1	ensembl	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide [Source:HGNC Symbol;Acc:12854]
ENSG00000134313	KIDINS220	HGNC	protein_coding	KNOWN	2	8865408	8977760	-1	ensembl	kinase D-interacting substrate, 220kDa [Source:HGNC Symbol;Acc:29508]
ENSG00000134317	GRHL1	HGNC	protein_coding	KNOWN	2	10085341	10142411	1	ensembl	grainyhead-like 1 (Drosophila) [Source:HGNC Symbol;Acc:17923]
ENSG00000134318	ROCK2	HGNC	protein_coding	KNOWN	2	11319887	11488456	-1	ensembl	Rho-associated, coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:10252]
ENSG00000134321	RSAD2	HGNC	protein_coding	KNOWN	2	7005937	7038370	1	ensembl	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:30908]
ENSG00000134323	MYCN	HGNC	protein_coding	KNOWN	2	16080686	16087129	1	ensembl	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian) [Source:HGNC Symbol;Acc:7559]
ENSG00000134324	LPIN1	HGNC	protein_coding	KNOWN	2	11817721	11967535	1	ensembl	lipin 1 [Source:HGNC Symbol;Acc:13345]
ENSG00000134326	CMPK2	HGNC	protein_coding	KNOWN	2	6980701	7006766	-1	ensembl	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial [Source:HGNC Symbol;Acc:27015]
ENSG00000134330	IAH1	HGNC	protein_coding	KNOWN	2	9613787	9636672	1	ensembl	isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:27696]
ENSG00000134333	LDHA	HGNC	protein_coding	KNOWN	11	18415935	18429972	1	ensembl	lactate dehydrogenase A [Source:HGNC Symbol;Acc:6535]
ENSG00000134339	SAA2	HGNC	protein_coding	KNOWN	11	18260770	18270190	-1	ensembl	serum amyloid A2 [Source:HGNC Symbol;Acc:10514]
ENSG00000134343	ANO3	HGNC	protein_coding	KNOWN	11	26210829	26684835	1	ensembl	anoctamin 3 [Source:HGNC Symbol;Acc:14004]
ENSG00000134352	IL6ST	HGNC	protein_coding	KNOWN	5	55230923	55290772	-1	ensembl	interleukin 6 signal transducer (gp130, oncostatin M receptor) [Source:HGNC Symbol;Acc:6021]
ENSG00000134363	FST	HGNC	protein_coding	KNOWN	5	52776239	52782964	1	ensembl	follistatin [Source:HGNC Symbol;Acc:3971]
ENSG00000134365	CFHR4	HGNC	protein_coding	KNOWN	1	196857144	196887843	1	ensembl	complement factor H-related 4 [Source:HGNC Symbol;Acc:16979]
ENSG00000134369	NAV1	HGNC	protein_coding	KNOWN	1	201592411	201796102	1	ensembl	neuron navigator 1 [Source:HGNC Symbol;Acc:15989]
ENSG00000134371	CDC73	HGNC	protein_coding	KNOWN	1	193091147	193223031	1	ensembl	cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:16783]
ENSG00000134375	TIMM17A	HGNC	protein_coding	KNOWN	1	201924619	201939789	1	ensembl	translocase of inner mitochondrial membrane 17 homolog A (yeast) [Source:HGNC Symbol;Acc:17315]
ENSG00000134376	CRB1	HGNC	protein_coding	KNOWN	1	197170592	197447585	1	ensembl	crumbs homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:2343]
ENSG00000134389	CFHR5	HGNC	protein_coding	KNOWN	1	196946667	196978804	1	ensembl	complement factor H-related 5 [Source:HGNC Symbol;Acc:24668]
ENSG00000134398	ERN2	HGNC	protein_coding	KNOWN	16	23701647	23724821	-1	ensembl	endoplasmic reticulum to nucleus signaling 2 [Source:HGNC Symbol;Acc:16942]
ENSG00000134419	RPS15A	HGNC	protein_coding	KNOWN	16	18792617	18801705	-1	ensembl	ribosomal protein S15a [Source:HGNC Symbol;Acc:10389]
ENSG00000134438	RAX	HGNC	protein_coding	KNOWN	18	56934267	56941318	-1	ensembl	retina and anterior neural fold homeobox [Source:HGNC Symbol;Acc:18662]
ENSG00000134440	NARS	HGNC	protein_coding	KNOWN	18	55267896	55289177	-1	ensembl	asparaginyl-tRNA synthetase [Source:HGNC Symbol;Acc:7643]
ENSG00000134443	GRP	HGNC	protein_coding	KNOWN	18	56887400	56898006	1	ensembl	gastrin-releasing peptide [Source:HGNC Symbol;Acc:4605]
ENSG00000134444	KIAA1468	HGNC	protein_coding	KNOWN	18	59854507	59974355	1	ensembl	KIAA1468 [Source:HGNC Symbol;Acc:29289]
ENSG00000134452	FBXO18	HGNC	protein_coding	KNOWN	10	5931535	5979556	1	ensembl	F-box protein, helicase, 18 [Source:HGNC Symbol;Acc:13620]
ENSG00000134453	RBM17	HGNC	protein_coding	KNOWN	10	6130949	6159420	1	ensembl	RNA binding motif protein 17 [Source:HGNC Symbol;Acc:16944]
ENSG00000134460	IL2RA	HGNC	protein_coding	KNOWN	10	6052652	6104333	-1	ensembl	interleukin 2 receptor, alpha [Source:HGNC Symbol;Acc:6008]
ENSG00000134461	ANKRD16	HGNC	protein_coding	KNOWN	10	5903689	5931869	-1	ensembl	ankyrin repeat domain 16 [Source:HGNC Symbol;Acc:23471]
ENSG00000134463	ECHDC3	HGNC	protein_coding	KNOWN	10	11784365	11806069	1	ensembl	enoyl CoA hydratase domain containing 3 [Source:HGNC Symbol;Acc:23489]
ENSG00000134470	IL15RA	HGNC	protein_coding	KNOWN	10	5991038	6020150	-1	ensembl	interleukin 15 receptor, alpha [Source:HGNC Symbol;Acc:5978]
ENSG00000134480	CCNH	HGNC	protein_coding	KNOWN	5	86687311	86708836	-1	ensembl	cyclin H [Source:HGNC Symbol;Acc:1594]
ENSG00000134489	HRH4	HGNC	protein_coding	KNOWN	18	22040593	22059921	1	ensembl	histamine receptor H4 [Source:HGNC Symbol;Acc:17383]
ENSG00000134490	TMEM241	HGNC	protein_coding	KNOWN	18	20777719	21017925	-1	ensembl	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]
ENSG00000134504	KCTD1	HGNC	protein_coding	KNOWN	18	24034874	24209206	-1	ensembl	potassium channel tetramerisation domain containing 1 [Source:HGNC Symbol;Acc:18249]
ENSG00000134508	CABLES1	HGNC	protein_coding	KNOWN	18	20714528	20840434	1	ensembl	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:25097]
ENSG00000134516	DOCK2	HGNC	protein_coding	KNOWN	5	169064251	169510386	1	ensembl	dedicator of cytokinesis 2 [Source:HGNC Symbol;Acc:2988]
ENSG00000134531	EMP1	HGNC	protein_coding	KNOWN	12	13349650	13369708	1	ensembl	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:3333]
ENSG00000134532	SOX5	HGNC	protein_coding	KNOWN	12	23682440	24103966	-1	ensembl	SRY (sex determining region Y)-box 5 [Source:HGNC Symbol;Acc:11201]
ENSG00000134533	RERG	HGNC	protein_coding	KNOWN	12	15260717	15501609	-1	ensembl	RAS-like, estrogen-regulated, growth inhibitor [Source:HGNC Symbol;Acc:15980]
ENSG00000134538	SLCO1B1	HGNC	protein_coding	KNOWN	12	21284136	21392180	1	ensembl	solute carrier organic anion transporter family, member 1B1 [Source:HGNC Symbol;Acc:10959]
ENSG00000134539	KLRD1	HGNC	protein_coding	KNOWN	12	10378657	10469850	1	ensembl	killer cell lectin-like receptor subfamily D, member 1 [Source:HGNC Symbol;Acc:6378]
ENSG00000134545	KLRC1	HGNC	protein_coding	KNOWN	12	10594863	10607284	-1	ensembl	killer cell lectin-like receptor subfamily C, member 1 [Source:HGNC Symbol;Acc:6374]
ENSG00000134548	C12orf39	HGNC	protein_coding	KNOWN	12	21679241	21690311	1	ensembl	chromosome 12 open reading frame 39 [Source:HGNC Symbol;Acc:28139]
ENSG00000134551	PRH2	HGNC	protein_coding	KNOWN	12	11081835	11086368	1	ensembl	proline-rich protein HaeIII subfamily 2 [Source:HGNC Symbol;Acc:9367]
ENSG00000134569	LRP4	HGNC	protein_coding	KNOWN	11	46878419	46940193	-1	ensembl	low density lipoprotein receptor-related protein 4 [Source:HGNC Symbol;Acc:6696]
ENSG00000134571	MYBPC3	HGNC	protein_coding	KNOWN	11	47352957	47374253	-1	ensembl	myosin binding protein C, cardiac [Source:HGNC Symbol;Acc:7551]
ENSG00000134574	DDB2	HGNC	protein_coding	KNOWN	11	47236493	47260767	1	ensembl	damage-specific DNA binding protein 2, 48kDa [Source:HGNC Symbol;Acc:2718]
ENSG00000134575	ACP2	HGNC	protein_coding	KNOWN	11	47260853	47270457	-1	ensembl	acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:123]
ENSG00000134588	USP26	HGNC	protein_coding	KNOWN	X	132158659	132231137	-1	ensembl	ubiquitin specific peptidase 26 [Source:HGNC Symbol;Acc:13485]
ENSG00000134590	FAM127A	HGNC	protein_coding	KNOWN	X	134166333	134167576	1	ensembl	family with sequence similarity 127, member A [Source:HGNC Symbol;Acc:2569]
ENSG00000134594	RAB33A	HGNC	protein_coding	KNOWN	X	129305623	129318844	1	ensembl	RAB33A, member RAS oncogene family [Source:HGNC Symbol;Acc:9773]
ENSG00000134595	SOX3	HGNC	protein_coding	KNOWN	X	139585152	139587225	-1	ensembl	SRY (sex determining region Y)-box 3 [Source:HGNC Symbol;Acc:11199]
ENSG00000134597	RBMX2	HGNC	protein_coding	KNOWN	X	129535943	129547317	1	ensembl	RNA binding motif protein, X-linked 2 [Source:HGNC Symbol;Acc:24282]
ENSG00000134602	MST4	Clone_based_vega_gene	protein_coding	KNOWN	X	131157293	131209971	1	ensembl	Serine/threonine-protein kinase MST4  [Source:UniProtKB/Swiss-Prot;Acc:Q9P289]
ENSG00000134627	PIWIL4	HGNC	protein_coding	KNOWN	11	94277006	94354587	1	ensembl	piwi-like 4 (Drosophila) [Source:HGNC Symbol;Acc:18444]
ENSG00000134640	MTNR1B	HGNC	protein_coding	KNOWN	11	92702886	92718232	1	ensembl	melatonin receptor 1B [Source:HGNC Symbol;Acc:7464]
ENSG00000134644	PUM1	HGNC	protein_coding	KNOWN	1	31404353	31538838	-1	ensembl	pumilio homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:14957]
ENSG00000134668	SPOCD1	HGNC	protein_coding	KNOWN	1	32256023	32281652	-1	ensembl	SPOC domain containing 1 [Source:HGNC Symbol;Acc:26338]
ENSG00000134684	YARS	HGNC	protein_coding	KNOWN	1	33240840	33283754	-1	ensembl	tyrosyl-tRNA synthetase [Source:HGNC Symbol;Acc:12840]
ENSG00000134686	PHC2	HGNC	protein_coding	KNOWN	1	33789224	33896653	-1	ensembl	polyhomeotic homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:3183]
ENSG00000134690	CDCA8	HGNC	protein_coding	KNOWN	1	38158090	38175391	1	ensembl	cell division cycle associated 8 [Source:HGNC Symbol;Acc:14629]
ENSG00000134697	GNL2	HGNC	protein_coding	KNOWN	1	38032417	38061540	-1	ensembl	guanine nucleotide binding protein-like 2 (nucleolar) [Source:HGNC Symbol;Acc:29925]
ENSG00000134698	EIF2C4	HGNC	protein_coding	KNOWN	1	36273773	36323491	1	ensembl	eukaryotic translation initiation factor 2C, 4 [Source:HGNC Symbol;Acc:18424]
ENSG00000134709	HOOK1	HGNC	protein_coding	KNOWN	1	60280458	60342050	1	ensembl	hook homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19884]
ENSG00000134716	CYP2J2	HGNC	protein_coding	KNOWN	1	60358980	60392462	-1	ensembl	cytochrome P450, family 2, subfamily J, polypeptide 2 [Source:HGNC Symbol;Acc:2634]
ENSG00000134717	BTF3L4	HGNC	protein_coding	KNOWN	1	52521797	52556388	1	ensembl	basic transcription factor 3-like 4 [Source:HGNC Symbol;Acc:30547]
ENSG00000134744	ZCCHC11	HGNC	protein_coding	KNOWN	1	52873954	53019159	-1	ensembl	zinc finger, CCHC domain containing 11 [Source:HGNC Symbol;Acc:28981]
ENSG00000134748	PRPF38A	HGNC	protein_coding	KNOWN	1	52870236	52883992	1	ensembl	PRP38 pre-mRNA processing factor 38 (yeast) domain containing A [Source:HGNC Symbol;Acc:25930]
ENSG00000134755	DSC2	HGNC	protein_coding	KNOWN	18	28645940	28682378	-1	ensembl	desmocollin 2 [Source:HGNC Symbol;Acc:3036]
ENSG00000134757	DSG3	HGNC	protein_coding	KNOWN	18	29027758	29058665	1	ensembl	desmoglein 3 [Source:HGNC Symbol;Acc:3050]
ENSG00000134758	RNF138	HGNC	protein_coding	KNOWN	18	29671828	29711524	1	ensembl	ring finger protein 138, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:17765]
ENSG00000134759	ELP2	HGNC	protein_coding	KNOWN	18	33709407	33757909	1	ensembl	elongation protein 2 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:18248]
ENSG00000134760	DSG1	HGNC	protein_coding	KNOWN	18	28898052	28936992	1	ensembl	desmoglein 1 [Source:HGNC Symbol;Acc:3048]
ENSG00000134762	DSC3	HGNC	protein_coding	KNOWN	18	28570052	28622781	-1	ensembl	desmocollin 3 [Source:HGNC Symbol;Acc:3037]
ENSG00000134765	DSC1	HGNC	protein_coding	KNOWN	18	28709199	28742819	-1	ensembl	desmocollin 1 [Source:HGNC Symbol;Acc:3035]
ENSG00000134769	DTNA	HGNC	protein_coding	KNOWN	18	32073254	32471808	1	ensembl	dystrobrevin, alpha [Source:HGNC Symbol;Acc:3057]
ENSG00000134775	FHOD3	HGNC	protein_coding	KNOWN	18	33877702	34360018	1	ensembl	formin homology 2 domain containing 3 [Source:HGNC Symbol;Acc:26178]
ENSG00000134779	TPGS2	HGNC	protein_coding	KNOWN	18	34376035	34409158	-1	ensembl	tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:24561]
ENSG00000134780	DAGLA	HGNC	protein_coding	KNOWN	11	61447905	61514473	1	ensembl	diacylglycerol lipase, alpha [Source:HGNC Symbol;Acc:1165]
ENSG00000134802	SLC43A3	HGNC	protein_coding	KNOWN	11	57174427	57195053	-1	ensembl	solute carrier family 43, member 3 [Source:HGNC Symbol;Acc:17466]
ENSG00000134809	TIMM10	HGNC	protein_coding	KNOWN	11	57295936	57298276	-1	ensembl	translocase of inner mitochondrial membrane 10 homolog (yeast) [Source:HGNC Symbol;Acc:11814]
ENSG00000134812	GIF	HGNC	protein_coding	KNOWN	11	59596741	59612974	-1	ensembl	gastric intrinsic factor (vitamin B synthesis) [Source:HGNC Symbol;Acc:4268]
ENSG00000134815	DHX34	HGNC	protein_coding	KNOWN	19	47852538	47889887	1	ensembl	DEAH (Asp-Glu-Ala-His) box polypeptide 34 [Source:HGNC Symbol;Acc:16719]
ENSG00000134817	APLNR	HGNC	protein_coding	KNOWN	11	57001051	57004726	-1	ensembl	apelin receptor [Source:HGNC Symbol;Acc:339]
ENSG00000134824	FADS2	HGNC	protein_coding	KNOWN	11	61560452	61634826	1	ensembl	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:3575]
ENSG00000134825	C11orf10	HGNC	protein_coding	KNOWN	11	61556435	61560274	-1	ensembl	chromosome 11 open reading frame 10 [Source:HGNC Symbol;Acc:1164]
ENSG00000134827	TCN1	HGNC	protein_coding	KNOWN	11	59620273	59634048	-1	ensembl	transcobalamin I (vitamin B12 binding protein, R binder family) [Source:HGNC Symbol;Acc:11652]
ENSG00000134830	GPR77	HGNC	protein_coding	KNOWN	19	47844040	47845272	1	ensembl	G protein-coupled receptor 77 [Source:HGNC Symbol;Acc:4527]
ENSG00000134851	TMEM165	HGNC	protein_coding	KNOWN	4	56262124	56292339	1	ensembl	transmembrane protein 165 [Source:HGNC Symbol;Acc:30760]
ENSG00000134852	CLOCK	HGNC	protein_coding	KNOWN	4	56294070	56413305	-1	ensembl	clock homolog (mouse) [Source:HGNC Symbol;Acc:2082]
ENSG00000134853	PDGFRA	HGNC	protein_coding	KNOWN	4	55095264	55164414	1	ensembl	platelet-derived growth factor receptor, alpha polypeptide [Source:HGNC Symbol;Acc:8803]
ENSG00000134864	A2LD1	HGNC	protein_coding	KNOWN	13	101183801	101241782	-1	ensembl	AIG2-like domain 1 [Source:HGNC Symbol;Acc:25100]
ENSG00000134871	COL4A2	HGNC	protein_coding	KNOWN	13	110958159	111165374	1	ensembl	collagen, type IV, alpha 2 [Source:HGNC Symbol;Acc:2203]
ENSG00000134873	CLDN10	HGNC	protein_coding	KNOWN	13	96085858	96231906	1	ensembl	claudin 10 [Source:HGNC Symbol;Acc:2033]
